timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
1778852973903,00002,19,11,0,0,2,2,42.231380,127.000000,7,4.908175,56.000000,5,2.575542,52.000000,6,-1.927295,42.000000,8,-4.183250,38.000000,3,-9.600106,27.000000,4,-17.387750,11.000000,,,,,,
1778852973903,00005,19,11,0,0,2,5,42.456029,127.000000,3,0.593190,48.000000,5,-1.416538,44.000000,4,-2.468064,41.000000,6,-4.243533,38.000000,8,-4.497327,37.000000,7,-8.235473,30.000000,,,,,,
1778852973903,00006,19,11,0,0,2,6,22.050350,91.000000,3,5.889427,58.000000,8,-0.231847,46.000000,4,-8.261270,30.000000,7,-9.566192,27.000000,5,-15.578877,15.000000,6,-22.262681,1.000000,,,,,,
1778852973903,00011,19,11,0,0,2,11,47.735423,127.000000,6,8.483137,63.000000,4,5.364421,57.000000,3,-0.531298,45.000000,8,-4.620422,37.000000,5,-7.428779,31.000000,7,-26.004370,0.000000,,,,,,
1778852973903,00016,19,11,0,0,2,16,9.458581,65.000000,4,7.181269,61.000000,3,2.423752,51.000000,5,-0.841182,45.000000,6,-7.438124,31.000000,8,-22.496860,1.000000,7,-23.986274,0.000000,,,,,,
1778852973903,00019,19,11,0,0,2,19,19.950740,87.000000,3,10.533684,68.000000,4,9.212425,65.000000,6,3.061299,53.000000,8,2.341082,51.000000,5,-2.848261,41.000000,7,-18.677262,9.000000,,,,,,
1778852973903,00020,19,11,0,0,2,20,18.118094,83.000000,3,13.449896,73.000000,8,4.582827,56.000000,5,-4.807924,37.000000,4,-6.319793,34.000000,7,-15.502728,15.000000,6,-26.793261,0.000000,,,,,,
1778852973903,00022,19,11,0,0,2,22,3.534115,53.000000,4,3.508652,53.000000,8,0.098520,47.000000,5,-2.926329,40.000000,7,-4.198480,38.000000,6,-11.042868,24.000000,3,-17.200198,12.000000,,,,,,
1778852973903,00027,19,11,0,0,2,27,21.033037,89.000000,3,-2.400273,42.000000,6,-3.935757,38.000000,8,-4.009385,38.000000,7,-4.431106,37.000000,4,-6.539705,33.000000,5,-19.797032,6.000000,,,,,,
1778852973903,00035,19,11,0,0,2,35,18.158355,83.000000,4,7.078920,61.000000,3,3.409002,53.000000,6,-0.475356,45.000000,5,-7.336730,32.000000,8,-14.364174,17.000000,7,-21.012824,4.000000,,,,,,
1778852973903,00045,19,11,0,0,2,45,4.704932,56.000000,4,8.738856,64.000000,6,-7.679312,31.000000,5,-10.811366,25.000000,3,-10.941954,24.000000,8,-13.815767,19.000000,7,-18.081843,10.000000,,,,,,
1778852973903,00046,19,11,0,0,2,46,10.987682,69.000000,4,4.915569,56.000000,5,-5.456238,35.000000,3,-7.547913,31.000000,7,-14.385815,17.000000,6,-15.834116,14.000000,8,-19.230052,8.000000,,,,,,
1778852973903,00054,19,11,0,0,2,54,17.329850,81.000000,3,10.475062,67.000000,4,6.111768,59.000000,7,-6.522611,33.000000,6,-14.986523,16.000000,8,-18.346242,9.000000,5,-24.790022,0.000000,,,,,,
1778852973903,00055,19,11,0,0,2,55,2.487192,51.000000,3,0.857718,48.000000,4,-0.907401,45.000000,6,-3.650032,39.000000,5,-6.242116,34.000000,8,-13.717192,19.000000,7,-14.244491,18.000000,,,,,,
1778852973903,00056,19,11,0,0,2,56,6.357498,59.000000,3,2.785495,52.000000,5,-1.748464,43.000000,8,-3.281533,40.000000,6,-3.893919,39.000000,4,-6.085122,34.000000,7,-11.818943,23.000000,,,,,,
1778852973903,00058,19,11,0,0,2,58,1.150673,49.000000,5,2.306496,51.000000,6,1.160313,49.000000,8,-3.214101,40.000000,3,-12.011018,22.000000,7,-17.540197,11.000000,4,-19.153826,8.000000,,,,,,
1778852973903,00060,19,11,0,0,2,60,12.129792,71.000000,5,3.012236,52.000000,4,2.581643,52.000000,8,-3.171796,40.000000,6,-6.318593,34.000000,3,-7.804883,31.000000,7,-16.537471,13.000000,,,,,,
1778852973903,00012,19,11,0,0,2,12,47.723878,127.000000,8,9.312191,65.000000,3,-0.280884,46.000000,4,-2.126127,42.000000,5,-4.149329,38.000000,7,-5.370186,36.000000,6,-10.617593,25.000000,,,,,,
1778852973903,00050,19,11,0,0,2,50,17.029244,81.000000,5,9.944005,66.000000,4,9.745819,66.000000,6,-4.878456,37.000000,3,-10.056344,26.000000,8,-12.918638,20.000000,7,-15.517020,15.000000,,,,,,
